CIUDAD,PROVINCIA,REGIÓN,CAMPO 1,VÍA POSTU.,CARRERA,SEXO,SEDE,N° LISTA,PROMEDIOPDT,PTJE.PONDE,IND.BECA,NOTA E.M,ESTADOMATRÍCULA,FECHA  PAGO DB,FECHA MATRÍCULA,AÑO,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,BGU,600,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
QUILPUÉ,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,FEMENINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,10/03/2021,10/03/2021,2021,,,,,,
VIÑA DEL MAR,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2660)PED.EN BIOLOGÍA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,,600,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
SANTIAGO,SANTIAGO,METROPOLITANA,METROPOLITANA,ADMISIÓN ESPECIAL,(2670)PED.EN QUÍMICA Y CIENCIAS,MASCULINO,(1) VALPARAÍSO,,,,,500,MATRICULADO,16/03/2021,16/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,ADMISIÓN ESPECIAL,(2673)PED.EN MATEMÁTICA VALPARAÍSO,FEMENINO,(1) VALPARAÍSO,,,,BGU,500,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,FEMENINO,(1) VALPARAÍSO,9,478,476.00,BGU,543,MATRICULADO,01/03/2021,01/03/2021,2021,,,,,,
LOS ANDES,LOS ANDES,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,1,619,581.80,,503,MATRICULADO,03/03/2021,03/03/2021,2021,,,,,,
VILLA ALEMANA,MARGA MARGA,VALPARAÍSO,VALPARAÍSO,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,8,478,490.10,,555,MATRICULADO,04/03/2021,04/03/2021,2021,,,,,,
IQUIQUE,IQUIQUE,TARAPACÁ,OTRA REGIÓN,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,11,472,449.40,,513,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
CALAMA,EL LOA,ANTOFAGASTA,OTRA REGIÓN,PAES,(2654)GEOGRAFÍA,MASCULINO,(1) VALPARAÍSO,4,523,540.70,,550,MATRICULADO,02/03/2021,02/03/2021,2021,,,,,,
